,generation,best_reward,mean_reward,worst_reward
0,1,-7.660512901533202,-20.728315555952854,-30.876166884242938
1,2,-0.43632960207428034,-18.212418182733295,-28.50444221110997
2,3,0.41443294378218337,-18.59614441023521,-35.657273570062195
3,4,-5.334513180770668,-18.348852605809128,-31.78224312318176
4,5,3.6062528797100173,-13.067674090612934,-32.06387603201807
5,6,11.48090436237332,-11.261535738887568,-31.43294010302904
6,7,6.631834682422226,-15.99391232097636,-36.16150341823628
7,8,11.055473181430212,-13.32831165231319,-40.10820151430401
8,9,15.584603846458945,-7.959863095078724,-24.91880437340311
9,10,28.359429901490895,-3.4105470753289624,-25.002969386059437
10,11,59.67006897294578,-3.22363926960071,-46.92331257047313
11,12,44.78219250646721,-0.027729072731527894,-26.608342748563533
12,13,48.195734388792424,-2.3173647039421863,-27.088850313148665
13,14,41.842960492917996,10.087565726125899,-39.81854536908772
14,15,114.35770515257846,17.132717537123288,-26.735389217117167
15,16,91.66630672821543,35.9550124987574,-22.319323249639005
16,17,114.39211375754648,22.08136630867158,-8.671688901377788
17,18,73.3859697202757,35.61313448862963,-5.034672419328024
18,19,93.39615653745425,48.36073619446368,-9.18113803766107
19,20,118.35082825024624,62.461230698902696,19.168484759727384
20,21,144.10105418530588,68.06262723207354,10.518004051683956
21,22,176.56717920951024,92.07034481880382,16.486203646859472
22,23,179.41818907362327,127.98989327379118,82.72585797390934
23,24,234.0677474360862,106.84216567473877,13.996782320850162
24,25,186.29770133301503,134.51636283358707,10.915804107009276
25,26,220.78152453012265,125.62398122708461,25.897870403800546
26,27,250.7669057746634,155.28664737951433,104.94007385003434
27,28,268.4665877877807,163.3980364676179,26.697050914509326
28,29,303.2612731083556,158.53769800715028,54.556281322096815
29,30,225.39881246312441,133.98912103524052,-0.14068464975115194
30,31,227.22962498604147,150.46736762668743,14.963369257071623
31,32,309.2109062532042,179.53784775816496,107.37258956078672
32,33,373.97400289899645,176.43741232670223,-6.370712998319689
33,34,466.32516839461687,198.25169963821813,74.30713075185847
34,35,420.7578847142086,239.57285022659676,74.13484181946282
35,36,468.1909793508699,278.80668519678704,105.06258044994115
36,37,438.28577103122956,276.6582702072446,72.88298780633731
37,38,413.4036804931317,295.53654690545443,32.22880161247371
38,39,483.52387737201025,345.4424371856211,198.19065143208064
39,40,457.98794282832233,341.3668265023062,201.62431388793544
40,41,457.94810923147634,328.1461078808096,30.84993778786629
41,42,466.0523650676308,376.4863517873594,255.59059589533834
42,43,566.2055885096728,357.720201947457,156.3678562405962
43,44,545.4025341793603,355.6739627477361,165.5461253507116
44,45,692.9693906030955,430.2495060879857,200.17255260330126
45,46,625.6353432405924,421.54971918218234,187.35005257244637
46,47,655.3697338608781,450.50624200539204,156.9880952104245
47,48,618.2218130957125,464.31937065407453,-28.997012380057804
48,49,731.5011071533902,506.34734454291447,314.4355480668879
49,50,656.7354678756423,506.3914992368207,309.37888216360767
50,51,676.2975877457791,517.8324261442068,300.6614536756626
51,52,700.9775832432679,565.6621045727401,396.44301003435663
52,53,781.0960405472932,544.1575906220946,-8.938254487660418
53,54,746.1524197881707,540.4969754446637,281.6611380293996
54,55,722.4261305221268,563.8441785629034,310.22821307294777
55,56,707.2906931413958,556.6069823712215,425.9116497758961
56,57,764.3882479349429,572.9612425372609,381.74151536766686
57,58,734.7292338559006,562.3954064524867,353.5504637943564
58,59,732.0730127586667,594.6498114784665,369.67075315755346
59,60,755.594715363217,594.6728746754777,385.10656831805784
60,61,732.5323228998548,584.9782315759971,363.46450844673706
61,62,810.2253957119011,635.3943143720645,448.27112551323575
62,63,741.806792438955,605.096484702465,339.2867257082602
63,64,807.3849121988238,647.493920685087,477.4378838750586
64,65,747.2423653102202,617.1113131831971,502.31986701588454
65,66,785.4555647005654,683.0433248431866,473.3133707797166
66,67,834.8337225444162,705.5810569023788,526.5244696513861
67,68,847.6160178363215,665.1103311079754,505.501824070659
68,69,851.4120927799459,635.4217664466813,488.9086105612526
69,70,817.2270990279843,692.1174415645634,548.401017499628
70,71,882.0489417648457,712.746822442932,615.967079402597
71,72,847.4429845322276,705.2440170442221,500.2826641868666
72,73,864.3329984503323,725.9577205616159,627.8802584042174
73,74,870.5564292667506,728.9432765147858,610.2004040071072
74,75,815.8413533093224,688.3504295339761,461.7700595545376
75,76,842.2483018292063,739.902487564611,533.1519701139963
76,77,826.7414102491036,676.9973639888342,412.6348793471024
77,78,793.7541549313562,680.9833286679291,464.7352882917762
78,79,856.3570934289288,698.7273431962224,467.700835935696
79,80,831.431647442332,714.2651792450173,527.2042581074251
80,81,847.6023806560049,719.2296663075215,563.2055023855294
81,82,827.5759533624471,660.2182331609572,404.43539961231244
82,83,818.595623064366,653.1023534716808,479.42669864809505
83,84,837.4286411698637,679.2499628777358,405.26526807693637
84,85,890.8272761300133,673.1729224490203,560.3064652617134
85,86,840.1199976378942,726.9675473738971,512.3307524660175
86,87,875.5889148922387,725.2640945363119,635.3245217358115
87,88,854.3410622748553,712.9135311725802,587.946391870775
